time;hour;open;high;low;close;volume
23/12/2023 ;17:00:00;43819.82;43819.82;43734.45;43751.89;58
23/12/2023 ;18:00:00;43751.88;43850.0;43701.39;43797.1;54
23/12/2023 ;19:00:00;43821.78;43821.78;43700.0;43700.06;56
23/12/2023 ;20:00:00;43729.93;43749.82;43648.0;43689.59;59
23/12/2023 ;21:00:00;43689.59;43784.6;43664.0;43761.54;56
23/12/2023 ;22:00:00;43782.05;43828.32;43744.27;43750.1;58
23/12/2023 ;23:00:00;43775.45;43811.55;43700.0;43700.1;59
24/12/2023 ;00:00:00;43700.12;43722.22;43614.54;43722.22;59
24/12/2023 ;01:00:00;43723.41;43894.65;43705.38;43758.64;64
24/12/2023 ;02:00:00;43774.97;43903.24;43758.31;43863.42;58
24/12/2023 ;03:00:00;43840.03;43874.43;43799.73;43850.36;55
24/12/2023 ;04:00:00;43850.36;43928.28;43747.6;43801.7;63
24/12/2023 ;05:00:00;43801.71;43811.43;43450.06;43499.65;64
24/12/2023 ;06:00:00;43499.65;43566.8;43444.44;43553.79;59
24/12/2023 ;07:00:00;43551.21;43675.37;43521.03;43670.71;57
24/12/2023 ;08:00:00;43638.98;43676.28;43569.8;43645.31;47
24/12/2023 ;09:00:00;43645.44;43701.96;43563.53;43676.7;58
24/12/2023 ;10:00:00;43676.7;43687.54;43435.86;43610.0;57
24/12/2023 ;11:00:00;43609.99;43646.49;43556.47;43630.15;48
24/12/2023 ;12:00:00;43630.15;43690.67;43593.46;43686.09;56
24/12/2023 ;13:00:00;43666.24;43784.8;43636.26;43760.29;55
24/12/2023 ;14:00:00;43760.3;43882.84;43689.61;43715.06;68
24/12/2023 ;15:00:00;43715.06;43799.43;43670.01;43708.84;57
24/12/2023 ;16:00:00;43707.43;43713.06;43550.01;43694.05;59
24/12/2023 ;17:00:00;43682.53;43727.96;43605.31;43648.57;61
24/12/2023 ;18:00:00;43631.28;43700.0;43567.9;43666.34;61
24/12/2023 ;19:00:00;43655.0;43679.97;43566.01;43638.53;56
24/12/2023 ;20:00:00;43607.06;43638.49;43431.01;43481.77;55
24/12/2023 ;21:00:00;43481.77;43555.03;43461.68;43507.27;59
24/12/2023 ;22:00:00;43507.27;43547.03;42820.95;43000.01;85
24/12/2023 ;23:00:00;43012.77;43186.98;42919.07;42991.17;67
25/12/2023 ;00:00:00;42965.64;43099.99;42759.01;42890.88;69
25/12/2023 ;01:00:00;42919.07;43073.94;42893.58;43044.54;59
25/12/2023 ;02:00:00;43059.99;43099.92;42871.95;43068.59;55
25/12/2023 ;03:00:00;43045.1;43154.8;43027.52;43154.8;54
25/12/2023 ;04:00:00;43154.8;43189.21;43108.43;43129.32;54
25/12/2023 ;05:00:00;43124.98;43232.48;43109.1;43232.48;59
25/12/2023 ;06:00:00;43223.83;43433.9;43220.64;43262.64;58
25/12/2023 ;07:00:00;43289.88;43289.88;43190.69;43221.14;45
25/12/2023 ;08:00:00;43221.14;43312.82;43100.03;43104.28;52
25/12/2023 ;09:00:00;43133.27;43190.86;43060.73;43129.95;48
25/12/2023 ;10:00:00;43130.03;43210.86;43088.53;43157.0;51
25/12/2023 ;11:00:00;43192.79;43244.87;43069.21;43201.18;51
25/12/2023 ;12:00:00;43200.66;43631.1;43093.07;43631.1;55
25/12/2023 ;13:00:00;43631.1;43733.95;43523.33;43647.38;55
25/12/2023 ;14:00:00;43654.2;43739.17;43570.04;43697.04;57
25/12/2023 ;15:00:00;43697.04;43739.09;43597.93;43633.69;61
25/12/2023 ;16:00:00;43615.54;43713.22;43443.67;43501.74;59
25/12/2023 ;17:00:00;43501.72;43653.36;43470.0;43556.5;60
25/12/2023 ;18:00:00;43532.11;43645.0;43393.28;43443.63;61
25/12/2023 ;19:00:00;43427.39;43510.83;43361.0;43464.97;57
25/12/2023 ;20:00:00;43464.98;43558.67;43325.14;43427.76;61
25/12/2023 ;21:00:00;43427.4;43531.08;43333.34;43531.08;60
25/12/2023 ;22:00:00;43502.09;43717.05;43468.08;43703.59;55
25/12/2023 ;23:00:00;43674.04;43676.49;43583.04;43607.38;52
26/12/2023 ;00:00:00;43583.07;43607.38;43407.78;43454.93;61
26/12/2023 ;01:00:00;43437.89;43549.25;43422.61;43478.14;56
26/12/2023 ;02:00:00;43504.99;43549.43;43416.46;43425.7;54
26/12/2023 ;03:00:00;43448.95;43481.0;43373.36;43459.22;57
26/12/2023 ;04:00:00;43459.22;43478.44;43389.59;43443.11;55
26/12/2023 ;05:00:00;43443.1;43448.89;42759.0;42782.58;65
26/12/2023 ;06:00:00;42821.19;42865.81;42654.83;42680.32;64
26/12/2023 ;07:00:00;42680.32;42848.9;42647.68;42803.39;52
26/12/2023 ;08:00:00;42774.71;42856.6;42703.31;42724.64;59
26/12/2023 ;09:00:00;42724.62;42746.98;42333.59;42432.38;60
26/12/2023 ;10:00:00;42425.0;42672.73;42372.16;42665.14;56
26/12/2023 ;11:00:00;42639.01;42767.32;42590.89;42707.28;52
26/12/2023 ;12:00:00;42692.31;42799.29;42642.94;42794.08;50
26/12/2023 ;13:00:00;42794.02;42794.03;42656.03;42754.88;55
26/12/2023 ;14:00:00;42713.08;42823.44;42538.3;42596.56;64
26/12/2023 ;15:00:00;42606.02;42736.03;42275.18;42371.6;66
26/12/2023 ;16:00:00;42394.18;42430.16;42156.86;42335.0;60
26/12/2023 ;17:00:00;42310.45;42369.87;41788.0;42046.09;66
26/12/2023 ;18:00:00;42046.05;42183.93;41850.0;42183.93;61
26/12/2023 ;19:00:00;42153.16;42333.79;42095.48;42161.01;59
26/12/2023 ;20:00:00;42165.7;42319.79;42089.55;42209.04;62
26/12/2023 ;21:00:00;42233.19;42353.58;42163.48;42353.58;60
26/12/2023 ;22:00:00;42353.58;42586.45;42333.21;42487.29;59
26/12/2023 ;23:00:00;42487.25;42543.23;42404.09;42526.37;62
27/12/2023 ;00:00:00;42505.16;42559.53;42357.08;42360.0;58
27/12/2023 ;01:00:00;42374.08;42490.15;42319.0;42467.83;59
27/12/2023 ;02:00:00;42468.26;42492.68;42187.17;42232.6;61
27/12/2023 ;03:00:00;42232.15;42336.44;42126.6;42226.73;54
27/12/2023 ;04:00:00;42226.73;42343.75;42196.03;42297.0;57
27/12/2023 ;05:00:00;42299.76;42455.41;42270.33;42431.48;56
27/12/2023 ;06:00:00;42455.42;42551.0;42420.24;42431.0;60
27/12/2023 ;07:00:00;42451.16;42496.05;42400.01;42465.12;53
27/12/2023 ;08:00:00;42465.12;42752.96;42400.0;42697.0;57
27/12/2023 ;09:00:00;42697.0;42739.45;42623.55;42709.93;52
27/12/2023 ;10:00:00;42738.88;43202.85;42698.05;43155.05;65
27/12/2023 ;11:00:00;43155.07;43184.62;42923.07;43007.72;58
27/12/2023 ;12:00:00;43007.72;43056.37;42786.33;42884.46;59
27/12/2023 ;13:00:00;42924.34;42981.76;42721.23;42885.53;60
27/12/2023 ;14:00:00;42908.57;43146.37;42827.33;42939.0;62
27/12/2023 ;15:00:00;42966.67;43060.18;42800.14;42968.82;61
27/12/2023 ;16:00:00;43003.22;43172.76;42891.83;43065.96;61
27/12/2023 ;17:00:00;43087.24;43120.0;42879.35;43005.0;66
27/12/2023 ;18:00:00;42978.87;43187.2;42938.53;43181.1;58
27/12/2023 ;19:00:00;43150.48;43187.37;43000.02;43159.99;61
27/12/2023 ;20:00:00;43133.46;43448.41;43108.07;43408.7;65
27/12/2023 ;21:00:00;43408.7;43484.7;43268.85;43360.13;70
27/12/2023 ;22:00:00;43343.28;43657.61;43283.01;43340.98;65
27/12/2023 ;23:00:00;43339.99;43463.48;43303.73;43410.09;60
28/12/2023 ;00:00:00;43434.54;43723.42;43377.24;43500.0;65
28/12/2023 ;01:00:00;43500.0;43644.82;43433.7;43433.7;61
28/12/2023 ;02:00:00;43449.15;43449.15;43288.85;43360.0;65
28/12/2023 ;03:00:00;43354.59;43422.11;43317.93;43392.82;59
28/12/2023 ;04:00:00;43392.82;43625.0;43310.0;43344.86;61
28/12/2023 ;05:00:00;43344.73;43351.98;43143.1;43233.39;62
28/12/2023 ;06:00:00;43202.85;43224.97;43000.0;43036.95;60
28/12/2023 ;07:00:00;43036.89;43074.46;42830.0;43018.58;63
28/12/2023 ;08:00:00;43041.77;43064.36;42919.97;42950.05;60
28/12/2023 ;09:00:00;42919.09;43098.72;42875.0;43031.52;60
28/12/2023 ;10:00:00;43031.41;43188.33;43012.8;43100.06;54
28/12/2023 ;11:00:00;43100.05;43153.57;43005.0;43055.0;54
